0.00000;-4.51794
0.00000;-3.08673
0.00000;-2.93626
0.00000;-2.23585
0.00000;-2.13594
0.00000;-1.53438
0.00000;-1.44792
0.00000;-1.40427
0.00000;-0.32092
0.00000;0.08123
0.00000;0.46479
0.00000;1.12999
0.00000;4.64736
0.00000;7.15468
0.00000;7.38149
0.00000;8.51577
0.00000;9.96527
0.00000;11.54262
36.86958;20.70927
42.28034;21.87506
55.84511;24.52428
62.49733;25.47734
66.00511;25.82316
70.90006;26.14411
82.86430;26.34642
91.72328;25.71206
285.42767;10.06494
301.53769;8.61229
302.38898;7.31612
303.63620;5.32131
304.72909;2.62589
304.89941;2.07037
304.88055;-0.54305
304.39664;-1.28642
303.60159;-1.59527
299.43390;-2.78608
283.99942;-3.36737
92.80768;-8.50626
81.22362;-8.77880
71.91251;-8.74397
66.51452;-8.59832
63.78519;-8.50647
60.38686;-8.37112
0.75795;-5.42671
0.45401;-5.39896
0.00000;-5.05970
0.00000;-4.51794
