6.841400;39.448110;-0.563410;6.841400;39.448109;-0.563410;-3.719940;35.786900;-6.557470;-10.220020;188.688080;-0.434880
6.630010;35.432590;-0.661110;6.630010;35.432590;-0.661110;-3.551350;36.216530;-6.521150;-9.689570;195.048889;-0.429700
5.791100;33.794390;-2.190660;5.791100;33.794392;-2.190660;-3.442440;35.384930;-6.588990;-9.722300;193.484726;-0.455460
5.821600;34.159160;-2.155170;5.821600;34.159161;-2.155170;-3.728690;37.001141;-6.457560;-9.902650;191.328491;-0.457080
5.863630;35.099960;-2.115280;5.863630;35.099960;-2.115280;-3.738440;36.471409;-6.501220;-9.543380;200.560944;-0.346670
5.525400;30.935310;-2.516710;5.525400;30.935310;-2.516710;-3.564640;37.040562;-6.453390;-9.514750;199.671371;-0.373160
5.503190;30.825720;-2.546840;5.503190;30.825720;-2.546840;-3.454410;35.897259;-6.546880;-9.759600;195.666275;-0.398750
5.947140;23.607580;-1.195500;5.947140;23.607580;-1.195500;-3.587280;36.266891;-6.517200;-9.749000;193.888611;-0.440000
5.807650;23.949920;-1.653790;5.807650;23.949921;-1.653790;-3.590020;36.029579;-6.536750;-9.993570;191.083939;-0.439600
5.787630;23.088220;-1.623020;5.787630;23.088221;-1.623020;-3.743890;36.154129;-6.527370;-9.278710;203.486771;-0.349470
5.787480;23.091860;-1.623790;5.787480;23.091860;-1.623790;-10.734980;42.952721;-4.357560;-10.000700;192.133240;-0.415040
5.857250;21.135020;-1.110350;5.857250;21.135019;-1.110350;-10.677740;42.787022;-4.388360;-9.404980;203.411362;-0.319470
5.341950;13.630960;-1.881160;5.341950;13.630960;-1.881160;-10.587860;42.105068;-4.446940;-10.101540;191.778503;-0.397470
5.291790;12.945950;-1.969840;5.291790;12.945950;-1.969840;-10.700950;41.521141;-4.400170;-9.457580;199.152115;-0.398760
7.223650;56.048940;-0.911020;7.223650;56.048939;-0.911020;-7.023560;33.121288;-6.293590;-9.548520;198.525070;-0.389580
